document_title,eisenhower_url,naid,collection,topic,bibliography_matches,matched_bibliography_files,unit_record_matches,matched_unit_records
"Ardennes: Translation of Written Questions Answered by Jodl and Approved by Keitel, July 20, 1945",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/102-009.pdf,12130736,"Walter Bedell Smith Collection, Box 41",Ardennes,16,oni_fuehrer_confs_01KPSYZ91WZGYKQR7G5QX0KCB6.json; wolframs_min_1_jul_in_agp_b_ktb_annex_33_jodl_diary_29_jun_oni_fuehrer_confs_der_01KQ5X7QRVQ24C3V4SF8MQQ052.json; min_1_jul_in_agp_b_ktb_annex_33_01KPSYZ73QCMQ2GBJ8QYVJKTQ6.json; report_of_kluge_jodl_telecon_01KQ629BF045HKJJAY0J5ANP6V.json; telecon_kluge_and_jodl_1828_13_jul_01KPSNRK9049H2C8BXZZNV2J8W.json,0,
"Ardennes Counteroffensive: Additional Interview with Jodl, July 26, 1945",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/102-010.pdf,12130740,"Walter Bedell Smith Collection, Box 41",Ardennes,16,oni_fuehrer_confs_01KPSYZ91WZGYKQR7G5QX0KCB6.json; wolframs_min_1_jul_in_agp_b_ktb_annex_33_jodl_diary_29_jun_oni_fuehrer_confs_der_01KQ5X7QRVQ24C3V4SF8MQQ052.json; min_1_jul_in_agp_b_ktb_annex_33_01KPSYZ73QCMQ2GBJ8QYVJKTQ6.json; report_of_kluge_jodl_telecon_01KQ629BF045HKJJAY0J5ANP6V.json; telecon_kluge_and_jodl_1828_13_jul_01KPSNRK9049H2C8BXZZNV2J8W.json,0,
"Battle of the Ardennes: Interview with Lt Col Otto Skorzeny, August 12, 1945",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/102-011.pdf,12130741,"Walter Bedell Smith Collection, Box 41",Ardennes,0,,0,
"The Ardennes Campaign by General Courtney H. Hodges, 1946",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/127-001.pdf,12126303,"Courtney H. Hodges Papers, Box 9",Ardennes,0,,0,
"Letter, H. R. Bull to Hanson Baldwin, September 12, 1946",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/126-001.pdf,12113394,"Harold R. Bull Papers, Box 2",Ardennes,24,21st_army_group_daily_administrative_bulletin_no_84_01KS0ZHFA7GTQJ3P6TQM956H0M.json; 21st_a_gp_basic_statistical_rpt_no_5_01KRSJTMFBZBY7YV7ZPVDV4VM1.json; 21st_a_gp_daily_adm_bull_no_84_2_sep_44_01KRSJTTT2B160Z19ZX37NNZV9.json; 21st_a_gp_daily_adm_bull_no_84_2_sep_44_01KRSVB37TARW2ZEZ96GW0Y29J.json; 21st_a_gp_basic_statistical_rpt_no_5_01KRSVB2TYHDKR5CBZ2V8XGM39.json,0,
"Memorandum for the Chief of Staff, September 12, 1946",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/126-002.pdf,12113395,"Harold R. Bull Papers, Box 2",Ardennes,0,,0,
"Order of the Day, June 6, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/order-of-the-day.pdf,12000995,"Museum Manuscripts, Box 1",D-Day,22,ms_a_105_01KT9RC9Y9245TM0YD6QWHZPK8.json; 89th_div_order_of_the_day_01KTC1ZPRE780QBY6TCB9ET45Y.json; ethint_56_01KTC1ZWK7JQGMGRTA69GECWAB.json; division_review_of_the_89th_division_01KTC1ZNBGSZ2E4GCQSRH1ASAB.json; ms_p_032a_01KTC1ZVQQGB3X7J9YNPQ0DSHJ.json,0,
Order of the Day - draft of statement,https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/order-of-the-day-draft.pdf,12010107,"Ray W. Barker Papers, Box 1",D-Day,22,ms_a_105_01KT9RC9Y9245TM0YD6QWHZPK8.json; 89th_div_order_of_the_day_01KTC1ZPRE780QBY6TCB9ET45Y.json; ethint_56_01KTC1ZWK7JQGMGRTA69GECWAB.json; division_review_of_the_89th_division_01KTC1ZNBGSZ2E4GCQSRH1ASAB.json; ms_p_032a_01KTC1ZVQQGB3X7J9YNPQ0DSHJ.json,0,
In Case of Failure Message,https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/in-case-of-failure-message.pdf,186470,"DDE Pre-Presidential Papers, Butcher Diary",D-Day,0,,0,
"The Trident Conference, May 1943",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/trident-conference.pdf,12005142,"Combined Chiefs of Staff Conference Proceedings, Box 2",D-Day,9,meetings_at_algiers_between_churchill_marshall_eisenhower_and_others_29_and_31_m_01KQ661Y58YA3665B36XBZ642B.json; min_of_trident_conf_01KQ66201N0XKS2GSP9PFGYR1A.json; minutes_of_trident_conference_01KPT989RHJCGB6QNARFXXPQ7K.json; 1st_white_house_mtg_trident_conf_01KPT79A1NZXPE4HV8E1PMNZWZ.json; jps_231_adequacy_of_the_trident_strategy_26_jul_43_colonel_bessell_army_member_o_01KPT99HFQZRC4Q71V809TP4QK.json,0,
