eisenhower_record,pdf_part,pdf_url,bibliography_matches,bibliography_files,people_group_matches,people_group_files,online_document_matches,online_document_urls
"5th RANGER INFANTRY BATTALION, 1943, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"60th ARMORED INFANTRY BATTALION, 1943-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"1st TANK DESTROYER GROUP, 1942-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"2nd TANK DESTROYER GROUP, 1942-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"3rd TANK DESTROYER GROUP, 1942-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"5th TANK DESTROYER GROUP, 1942-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"13th TANK DESTROYER GROUP, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"15th TANK DESTROYER GROUP, 1943-1944",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"17th TANK DESTROYER GROUP, 1943-1944",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"18th TANK DESTROYER GROUP, 1943",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"601st TANK DESTOYER BATTALION, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"605th TANK DESTROYER BATTALION, 1941-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"607th TANK DESTROYER BATTALION, 1941-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"609th TANK DESTROYER BATTALION, 1941-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"611th TANK DESTOYER BATTALION, 1943",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"612th TANK DESTROYER BATTALION, 1942-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"614th TANK DESTROYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"628th TANK DESTROYER BATTALION, 1941, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"629th TANK DESTROYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"630th TANK DESTROYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"632nd TANK DESTROYER BATTALION, 1943-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"33rd TANK DESTROYER BATTALION, 1941-1943",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"635th TANK DESTROYER BATTALION, 1944",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"636th TANK DESTROYER BATTALION, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"638th TANK DESTROYER BATTALION, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"640th TANK DESTROYER BATTALION, 1942",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"643rd TANK DESTROYER BATTALION, 1941-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"644th TANK DESTROYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"645th TANK DESTROYER BATTALION, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"648th TANK DESTROYER BATTALION, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"652nd TANK DESTROYER BATTALION, 1943",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"654th TANK DESTROYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"656th TANK DESTROYER BATTAION, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"661st TANK DESTROYER Battalion, 1943 – 1949",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"679th TANK DESTROYER BATTALION, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"692nd TANK DESTROYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"701st TANK DESTROYER BATTALION, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"702nd TANK DESTROYER BATTALION, 1943 – 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"703rd TANK DESTROYER BATTALION, 1941 – 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"771st TANK DESTROYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"772nd TANK DESTROYER BATTALION, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"773rd TANK DESTOYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"774th TANK DESTROYER BATTALION, 1941-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"776th TANK DESTROYER BATTALION, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"801st TANK DESTROYER BATTALION, 1944",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"802nd TANK DESTROYER BATTALION, 1940-1944.",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"803rd TANK DESTROYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"814th TANK DESTROYER BATTALION, 1942-1945.",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"817th TANK DESTROYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"820th TANK DESTORYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"821st TANK DESTROYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"822nd TANK DESTROYER BATTALION, 1942-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"823rd TANK DESTROYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"824th TANK DESTROYER BATTALION, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"825th TANK DESTROYER BATTALION, 1942-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"893rd TANK DESTROYER BATTALION, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"899th TANK DESTROYER BATTALION, 1941-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
